label	intensity_mean	area	axis_major_length	axis_minor_length	major_length_um	minor_length_um	axis_ratio	name	date	op_date	group	paw	spot
403	3240.6553672316386	177.0	15.947473633912239	14.646400642713127	5.05534914195018	4.642909003740061	0.9184151031651568	example_image	170125	co	co	co	ps
404	3065.4117647058824	17.0	5.2803066611302425	4.198453534749997	1.6738572115782868	1.330909770515749	0.7951154741931833	example_image	170125	co	co	co	ps
405	2490.294117647059	17.0	5.2803066611302425	4.198453534749996	1.6738572115782868	1.3309097705157487	0.7951154741931831	example_image	170125	co	co	co	ps
406	2510.5555555555557	9.0	4.024615616949963	3.2659863237109037	1.2758031505731382	1.0353176646163564	0.811502671200689	example_image	170125	co	co	co	ps
407	3226.0337078651687	89.0	12.391103523916835	9.32152359679185	3.9279798170816367	2.954922980183017	0.7522754998212873	example_image	170125	co	co	co	ps
408	2666.448275862069	29.0	6.61525867021732	5.686671594179706	2.0970369984588904	1.8026748953549667	0.8596295137757465	example_image	170125	co	co	co	ps
409	3400.5254237288136	59.0	9.885413711521792	7.723901795872779	3.1336761465524083	2.448476869291671	0.7813433024932789	example_image	170125	co	co	co	ps
410	3477.211111111111	90.0	11.456711853319916	10.258055572440757	3.6317776575024134	3.25180361646372	0.8953751917456304	example_image	170125	co	co	co	ps
411	2690.9285714285716	42.0	7.8722298049460395	7.091617336466493	2.4954968481678947	2.2480426956598785	0.9008397254880574	example_image	170125	co	co	co	ps
412	3059.901234567901	81.0	11.525467847535559	9.196961784241315	3.6535733076687724	2.915436885604497	0.7979686296385671	example_image	170125	co	co	co	ps
413	3261.609756097561	41.0	8.927021829668249	6.0687230645780845	2.829865920004835	1.9237852114712528	0.6798149685720679	example_image	170125	co	co	co	ps
414	3254.310810810811	74.0	12.459535327867647	7.6164642229029385	3.949672698934044	2.4144191586602317	0.6112960092394102	example_image	170125	co	co	co	ps
415	3380.625	152.0	14.447269734311567	13.481728622188163	4.579784505776766	4.273707973233647	0.933167918237846	example_image	170125	co	co	co	ps
416	3150.913043478261	23.0	5.784770756395577	5.387405680042758	1.833772329777398	1.7078076005735545	0.9313084142680164	example_image	170125	co	co	co	ps
417	2702.0	28.0	7.050835816716038	5.0142653642240695	2.235114953898984	1.58952212045903	0.7111590022187595	example_image	170125	co	co	co	ps
418	3200.062146892655	177.0	19.226534410530196	12.263408584036394	6.094811408138072	3.887500521139537	0.6378377050270608	example_image	170125	co	co	co	ps
419	3366.0	59.0	8.999915699946229	8.360662910315357	2.8529732768829543	2.650330142569968	0.9289712469601586	example_image	170125	co	co	co	ps
420	3485.2	80.0	12.398364468299583	8.531738305363474	3.930281536450968	2.704561042800221	0.6881341750500732	example_image	170125	co	co	co	ps
421	2891.1022727272725	88.0	12.221183476786518	9.281530404956134	3.8741151621413263	2.942245138371095	0.7594624876212606	example_image	170125	co	co	co	ps
422	3708.068181818182	44.0	12.37887569101574	4.629563490652537	3.9241035940519895	1.4675716265368544	0.37398901210491614	example_image	170125	co	co	co	ps
